GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
336307925,20150211,201502,2015,2015.1123,INDLEG,JHARKHAND,IND,,,,,LEG,,,LEG,CONGRESS,,,,,,LEG,,,0,051,051,05,1,3.4,2,1,2,5.89318600368324,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150211,http://www.nyoooz.com/news/ranchi/delhi-sweep-boosts-aap-morale-in-state/53312.html
430166615,20150502,201505,2015,2015.3342,INDLEG,KERALA,IND,,,,,LEG,,,,,,,,,,,,,0,051,051,05,1,3.4,2,1,2,1.57215047725996,4,"Palghat, Kerala, India",IN,IN13,10.7725,76.6514,-2106856,0,,,,,,,4,"Palghat, Kerala, India",IN,IN13,10.7725,76.6514,-2106856,20150502,http://www.mainstreamweekly.net/article5644.html
430166617,20150502,201505,2015,2015.3342,INDLEG,KERALA,IND,,,,,LEG,,,,,,,,,,,,,0,051,051,05,1,3.4,6,1,6,1.57215047725996,5,"Tripura, Tripura, India",IN,IN26,24.0,92.0,-2113451,0,,,,,,,5,"Tripura, Tripura, India",IN,IN26,24.0,92.0,-2113451,20150502,http://www.mainstreamweekly.net/article5644.html
433178492,20150514,201505,2015,2015.3671,INDLEG,DELHI,IND,,,,,LEG,,,JUD,SUPREME COURT,,,,,,JUD,,,1,051,051,05,1,3.4,1,1,1,0.0,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150514,http://www.rajasthannews1.com/2015/05/congress-dubs-kejriwals-anti-media.html
334598718,20150131,201501,2015,2015.0849,INDLEG,TAMIL NADU,IND,,,,,LEG,,,,,,,,,,,,,0,051,051,05,1,3.4,1,1,1,3.31825037707391,5,"Kerala, Kerala, India",IN,IN13,10.0,76.5,-2100307,0,,,,,,,5,"Kerala, Kerala, India",IN,IN13,10.0,76.5,-2100307,20150131,http://www.deccanchronicle.com/150131/nation-politics/article/jayanthi-natarajan-first-attack-rahul-gandhi-public
414766815,20150204,201502,2015,2015.0932,INDLEG,DELHI,IND,,,,,LEG,,,GOV,GOVERNMENT,,,,,,GOV,,,0,051,051,05,1,3.4,4,1,4,-0.90759075907591,4,"Kanpur, Uttar Pradesh, India",IN,IN36,26.4667,80.35,-2099561,4,"Kanpur, Uttar Pradesh, India",IN,IN36,26.4667,80.35,-2099561,4,"Kanpur, Uttar Pradesh, India",IN,IN36,26.4667,80.35,-2099561,20150306,http://www.thehindu.com/features/friday-review/let-there-be-light/article6966290.ece
335009717,20150203,201502,2015,2015.0904,INDLEG,JAMMU AND KASHMIR,IND,,,,,LEG,,,,,,,,,,,,,0,057,057,05,1,8.0,1,1,1,3.6036036036036,4,"Jammu, Jammu and Kashmir, India",IN,IN12,32.7333,74.8667,-2098228,0,,,,,,,5,"Kashmir, Jammu and Kashmir, India",IN,IN12,33.9167,76.6667,-2098229,20150203,http://indiatoday.intoday.in/story/national-conference-j-k-autonomy-davinder-singh-rana-farooq-abdullah-balraj-puri-mohideen-shah-nda/1/416607.html
334598717,20150131,201501,2015,2015.0849,INDLEG,TAMIL NADU,IND,,,,,LEG,,,,,,,,,,,,,1,051,051,05,1,3.4,10,1,10,4.74860335195531,0,,,,,,,0,,,,,,,0,,,,,,,20150131,http://www.financialexpress.com/article/miscellaneous/tamil-nadu-congress-chief-e-v-k-s-elangovan-thanks-jayanthi-natarajan-for-quitting/37346/
426756943,20150420,201504,2015,2015.3014,INDLEG,DELHI,IND,,,,,LEG,,,AGR,FARMER,,,,,,AGR,,,1,051,051,05,1,3.4,2,1,2,0.24509803921569,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,28.6667,77.2167,-2094230,20150420,http://www.deccanherald.com/content/472685/maken-emerges-bigger-congress-rally.html
439022585,20150606,201506,2015,2015.4274,INDLEG,TAMIL NADU,IND,,,,,LEG,,,INDGOV,KARNATAKA,IND,,,,,GOV,,,0,051,051,05,1,3.4,2,1,2,-1.38740661686233,5,"Tamil Nadu, Tamil Nadu, India",IN,IN25,11.0,78.0,-2112557,5,"Karnataka, Karnataka, India",IN,IN19,13.5,76.0,-2099860,5,"Karnataka, Karnataka, India",IN,IN19,13.5,76.0,-2099860,20150606,https://abdulruff.wordpress.com/2015/06/06/unstoppable-indian-corruption-are-top-leaders-free-to-loot-the-nation/
416937216,20150314,201503,2015,2015.2027,INDLEG,KERALA,IND,,,,,LEG,,,OPP,ACTIVIST,,,,,,OPP,,,0,051,051,05,1,3.4,20,2,20,-4.99702656270648,0,,,,,,,0,,,,,,,0,,,,,,,20150314,http://www.thehindu.com/news/national/kerala/ldf-udf-activists-clash-in-various-parts-of-kottayam/article6992955.ece
336307926,20150211,201502,2015,2015.1123,INDLEG,JHARKHAND,IND,,,,,LEG,,,LEG,CONGRESS,,,,,,LEG,,,0,051,051,05,1,3.4,3,1,3,5.89318600368324,4,"Gumla, Chhattisgarh, India",IN,IN37,23.05,84.55,-2096816,4,"Gumla, Chhattisgarh, India",IN,IN37,23.05,84.55,-2096816,4,"Gumla, Chhattisgarh, India",IN,IN37,23.05,84.55,-2096816,20150211,http://www.nyoooz.com/news/ranchi/delhi-sweep-boosts-aap-morale-in-state/53312.html
